Id,Description,Subtitle,Title,AgeRange,Author,Country,CoverImageUrl
books/5031,Ke utlwa eng? Ke dupa eng? Ke latswa eng? Ke rata go kgoma eng? Tebo e e farologaneng tota mo lefatsheng Le le re dikologileng go babuisi ba bannye.\r\n,null,Ke bona eng se se fofang?,3-5 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8535/8672127178_b8b8646b90_m.jpg
books/5032,Ngivani? Kunukani? Yini Lengiyinambitsako? Yini lengitsandza kuyitsintsa? Liso lelehluke khashane lemhlaba lesikuwo kubafundzi labacane.\r\n,null,Ngibonani lendizako?,3-5 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8523/8671024121_f561234bfe_m.jpg
books/5057,Ndi khou pfa mini? Ndi khou fembedza mini? Ndi khou pfa mini hanwaṋi? Ndi funa u kwama mini? Mbonalo yo fhambananaho vhukuma ḽifhasini ḽine ra vha khaḽo ḽa vhavhali vhaṱuku.\r\n,null,Ndi mini zwine nda khou zwi vhona zwi fhufhaho?,3-5 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8123/8672125758_386633fafa_m.jpg
books/5058,Yintoni endiyivayo ngeendlebe? Yinto endiyijojayo? Ncasani endiyivayo ngomglomo? Yintoni endithanda ukuyichukumisa? Indelela eyahluke kakhulu yokujonga ihlabathi elisingqongileyo kubafundi abancinane.\r\n,null,Yintoni le ndiyibonayo ibhabhayo?,3-5 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8389/8672157872_468bd5e4ba_m.jpg
books/5089,Ndzi twa yini? Ndzi nuheta yini? Ndzi ringa yini? Ndzi tsakela ku khumba yini? Ku languteka loko hambaneke ka misava leyi hi Rhendzeleke ya vahlayi lavantsongo.\r\n,null,Ndzi vona yini lexi hahaka?,3-5 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8535/8672127178_b8b8646b90_m.jpg
books/5121,Yini engiyizwayo? Yini engiyihogelayo? Yini engiyinambithayo? Yini engithanda ukuyithinta? Ukubheka umhlaba osizungezile ngokwehluke kakhulu kubafundi bezincwadi abasebancane.\r\n,null,Yini engiyibonayo endizayo?,3-5 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8117/8671056209_9bea93c00b_m.jpg
books/5153,"This little boy wants to grow up really fast. He tells us why he wants to be a grown up, and what he plans to do make the world a better place.\r\n",null,When I Grow Up,6-8 years,"Cyprien K.M. Akuete ",South Africa,http://farm9.staticflickr.com/8539/8671007235_2349574a69_m.jpg
books/5154,"Hierdie seuntjie wil baie gou groot word. Hy vertel vir ons hoekom hy 'n grootmens wil wees, en wat hy wil doen om die wêreld 'n beter plek te maak.\r\n",null,Wanneer ek groot is,6-8 years,"Cyprien K.M. Akuete ",South Africa,http://farm9.staticflickr.com/8113/8672116618_6e3e8e149f_m.jpg
books/5185,"Moshanyana enwa e monyenyane o batla ho hola ka potlako. O re bolella hore hobaneng a batla ho ba moholo,mme seo a batlang ho se etsa se lokisa maemo a lefatshe.\r\n",null,Ha ke hola,6-8 years,"Cyprien K.M. Akuete ",South Africa,http://farm9.staticflickr.com/8397/8672101054_ff87c4845b_m.jpg
books/5187,"Lo mfana ufuna ukukhula ngokushesha okukhulu. Sitshelwa ngezizathu ezimenza ukuthi afune ukukhula ngokushesha, kanye nezinto ahlose ukuzenza ukuze enze umhlaba ube yindawo engcono yokuphila.\r\n",null,Uma ngikhula,6-8 years,"Cyprien K.M. Akuete ",South Africa,http://farm9.staticflickr.com/8256/8672123384_c4211f31aa_m.jpg
